ID,target
year_week_425_store_1_category_0,0
year_week_426_store_1_category_0,0
year_week_427_store_1_category_0,1
year_week_428_store_1_category_0,3
year_week_429_store_1_category_0,2
year_week_430_store_1_category_0,0
year_week_431_store_1_category_0,1
year_week_432_store_1_category_0,1
year_week_425_store_1_category_1,2
year_week_426_store_1_category_1,3
year_week_427_store_1_category_1,4
year_week_428_store_1_category_1,4
year_week_429_store_1_category_1,2
year_week_430_store_1_category_1,1
year_week_431_store_1_category_1,2
year_week_432_store_1_category_1,4
year_week_425_store_1_category_10,1
year_week_426_store_1_category_10,0
year_week_427_store_1_category_10,4
year_week_428_store_1_category_10,2
year_week_429_store_1_category_10,3
year_week_430_store_1_category_10,3
year_week_431_store_1_category_10,2
year_week_432_store_1_category_10,1
year_week_425_store_1_category_11,2
year_week_426_store_1_category_11,2
year_week_427_store_1_category_11,4
year_week_428_store_1_category_11,4
year_week_429_store_1_category_11,0
year_week_430_store_1_category_11,2
year_week_431_store_1_category_11,1
year_week_432_store_1_category_11,2
year_week_425_store_1_category_12,1
year_week_426_store_1_category_12,4
year_week_427_store_1_category_12,3
year_week_428_store_1_category_12,1
year_week_429_store_1_category_12,2
year_week_430_store_1_category_12,3
year_week_431_store_1_category_12,0
year_week_432_store_1_category_12,1
year_week_425_store_1_category_13,3
year_week_426_store_1_category_13,3
year_week_427_store_1_category_13,4
year_week_428_store_1_category_13,1
year_week_429_store_1_category_13,4
year_week_430_store_1_category_13,0
year_week_431_store_1_category_13,4
year_week_432_store_1_category_13,3
year_week_425_store_1_category_14,3
year_week_426_store_1_category_14,1
year_week_427_store_1_category_14,1
year_week_428_store_1_category_14,2
year_week_429_store_1_category_14,3
year_week_430_store_1_category_14,3
year_week_431_store_1_category_14,4
year_week_432_store_1_category_14,1
year_week_425_store_1_category_15,0
year_week_426_store_1_category_15,2
year_week_427_store_1_category_15,4
year_week_428_store_1_category_15,4
year_week_429_store_1_category_15,3
year_week_430_store_1_category_15,2
year_week_431_store_1_category_15,4
year_week_432_store_1_category_15,3
year_week_425_store_1_category_16,4
year_week_426_store_1_category_16,3
year_week_427_store_1_category_16,4
year_week_428_store_1_category_16,2
year_week_429_store_1_category_16,1
year_week_430_store_1_category_16,2
year_week_431_store_1_category_16,1
year_week_432_store_1_category_16,4
year_week_425_store_1_category_17,0
year_week_426_store_1_category_17,2
year_week_427_store_1_category_17,1
year_week_428_store_1_category_17,3
year_week_429_store_1_category_17,2
year_week_430_store_1_category_17,1
year_week_431_store_1_category_17,0
year_week_432_store_1_category_17,2
year_week_425_store_1_category_18,3
year_week_426_store_1_category_18,2
year_week_427_store_1_category_18,3
year_week_428_store_1_category_18,3
year_week_429_store_1_category_18,3
year_week_430_store_1_category_18,1
year_week_431_store_1_category_18,4
year_week_432_store_1_category_18,4
year_week_425_store_1_category_19,1
year_week_426_store_1_category_19,3
year_week_427_store_1_category_19,4
year_week_428_store_1_category_19,2
year_week_429_store_1_category_19,3
year_week_430_store_1_category_19,0
year_week_431_store_1_category_19,0
year_week_432_store_1_category_19,1
year_week_425_store_1_category_2,1
year_week_426_store_1_category_2,0
year_week_427_store_1_category_2,3
year_week_428_store_1_category_2,4
year_week_429_store_1_category_2,0
year_week_430_store_1_category_2,4
year_week_431_store_1_category_2,4
year_week_432_store_1_category_2,3
year_week_425_store_1_category_20,2
year_week_426_store_1_category_20,4
year_week_427_store_1_category_20,3
year_week_428_store_1_category_20,0
year_week_429_store_1_category_20,4
year_week_430_store_1_category_20,1
year_week_431_store_1_category_20,0
year_week_432_store_1_category_20,1
year_week_425_store_1_category_21,2
year_week_426_store_1_category_21,3
year_week_427_store_1_category_21,1
year_week_428_store_1_category_21,0
year_week_429_store_1_category_21,0
year_week_430_store_1_category_21,0
year_week_431_store_1_category_21,1
year_week_432_store_1_category_21,3
year_week_425_store_1_category_22,4
year_week_426_store_1_category_22,1
year_week_427_store_1_category_22,4
year_week_428_store_1_category_22,3
year_week_429_store_1_category_22,2
year_week_430_store_1_category_22,3
year_week_431_store_1_category_22,0
year_week_432_store_1_category_22,0
year_week_425_store_1_category_23,1
year_week_426_store_1_category_23,3
year_week_427_store_1_category_23,3
year_week_428_store_1_category_23,0
year_week_429_store_1_category_23,1
year_week_430_store_1_category_23,4
year_week_431_store_1_category_23,4
year_week_432_store_1_category_23,2
year_week_425_store_1_category_24,2
year_week_426_store_1_category_24,1
year_week_427_store_1_category_24,0
year_week_428_store_1_category_24,3
year_week_429_store_1_category_24,2
year_week_430_store_1_category_24,0
year_week_431_store_1_category_24,2
year_week_432_store_1_category_24,1
year_week_425_store_1_category_25,1
year_week_426_store_1_category_25,1
year_week_427_store_1_category_25,3
year_week_428_store_1_category_25,4
year_week_429_store_1_category_25,0
year_week_430_store_1_category_25,4
year_week_431_store_1_category_25,3
year_week_432_store_1_category_25,3
year_week_425_store_1_category_26,2
year_week_426_store_1_category_26,3
year_week_427_store_1_category_26,3
year_week_428_store_1_category_26,0
year_week_429_store_1_category_26,0
year_week_430_store_1_category_26,3
year_week_431_store_1_category_26,3
year_week_432_store_1_category_26,3
year_week_425_store_1_category_27,0
year_week_426_store_1_category_27,2
year_week_427_store_1_category_27,3
year_week_428_store_1_category_27,1
year_week_429_store_1_category_27,2
year_week_430_store_1_category_27,2
year_week_431_store_1_category_27,4
year_week_432_store_1_category_27,3
year_week_425_store_1_category_28,4
year_week_426_store_1_category_28,2
year_week_427_store_1_category_28,2
year_week_428_store_1_category_28,2
year_week_429_store_1_category_28,1
year_week_430_store_1_category_28,4
year_week_431_store_1_category_28,0
year_week_432_store_1_category_28,0
year_week_425_store_1_category_29,0
year_week_426_store_1_category_29,0
year_week_427_store_1_category_29,1
year_week_428_store_1_category_29,3
year_week_429_store_1_category_29,3
year_week_430_store_1_category_29,1
year_week_431_store_1_category_29,2
year_week_432_store_1_category_29,1
year_week_425_store_1_category_3,0
year_week_426_store_1_category_3,0
year_week_427_store_1_category_3,0
year_week_428_store_1_category_3,2
year_week_429_store_1_category_3,0
year_week_430_store_1_category_3,4
year_week_431_store_1_category_3,4
year_week_432_store_1_category_3,2
year_week_425_store_1_category_30,4
year_week_426_store_1_category_30,3
year_week_427_store_1_category_30,3
year_week_428_store_1_category_30,2
year_week_429_store_1_category_30,1
year_week_430_store_1_category_30,1
year_week_431_store_1_category_30,4
year_week_432_store_1_category_30,4
year_week_425_store_1_category_31,1
year_week_426_store_1_category_31,2
year_week_427_store_1_category_31,4
year_week_428_store_1_category_31,4
year_week_429_store_1_category_31,1
year_week_430_store_1_category_31,0
year_week_431_store_1_category_31,3
year_week_432_store_1_category_31,2
year_week_425_store_1_category_32,3
year_week_426_store_1_category_32,0
year_week_427_store_1_category_32,2
year_week_428_store_1_category_32,3
year_week_429_store_1_category_32,1
year_week_430_store_1_category_32,3
year_week_431_store_1_category_32,0
year_week_432_store_1_category_32,1
year_week_425_store_1_category_4,1
year_week_426_store_1_category_4,0
year_week_427_store_1_category_4,3
year_week_428_store_1_category_4,0
year_week_429_store_1_category_4,1
year_week_430_store_1_category_4,0
year_week_431_store_1_category_4,3
year_week_432_store_1_category_4,2
year_week_425_store_1_category_5,3
year_week_426_store_1_category_5,4
year_week_427_store_1_category_5,0
year_week_428_store_1_category_5,2
year_week_429_store_1_category_5,2
year_week_430_store_1_category_5,1
year_week_431_store_1_category_5,4
year_week_432_store_1_category_5,4
year_week_425_store_1_category_6,1
year_week_426_store_1_category_6,0
year_week_427_store_1_category_6,1
year_week_428_store_1_category_6,1
year_week_429_store_1_category_6,2
