date,year,month,dayofmonth,dayofweek,dayofyear,weekofyear,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,year_weekofyear
365,1,1,1,2,1,1,1,True,False,True,False,True,False,101
366,1,1,2,3,2,1,1,False,False,False,False,False,False,101
367,1,1,3,4,3,1,1,False,False,False,False,False,False,101
368,1,1,4,5,4,1,1,False,False,False,False,False,False,101
369,1,1,5,6,5,1,1,False,False,False,False,False,False,101
370,1,1,6,0,6,2,1,False,False,False,False,False,False,102
371,1,1,7,1,7,2,1,False,False,False,False,False,False,102
372,1,1,8,2,8,2,1,False,False,False,False,False,False,102
373,1,1,9,3,9,2,1,False,False,False,False,False,False,102
374,1,1,10,4,10,2,1,False,False,False,False,False,False,102
375,1,1,11,5,11,2,1,False,False,False,False,False,False,102
376,1,1,12,6,12,2,1,False,False,False,False,False,False,102
377,1,1,13,0,13,3,1,False,False,False,False,False,False,103
378,1,1,14,1,14,3,1,False,False,False,False,False,False,103
379,1,1,15,2,15,3,1,False,False,False,False,False,False,103
380,1,1,16,3,16,3,1,False,False,False,False,False,False,103
381,1,1,17,4,17,3,1,False,False,False,False,False,False,103
382,1,1,18,5,18,3,1,False,False,False,False,False,False,103
383,1,1,19,6,19,3,1,False,False,False,False,False,False,103
384,1,1,20,0,20,4,1,False,False,False,False,False,False,104
385,1,1,21,1,21,4,1,False,False,False,False,False,False,104
386,1,1,22,2,22,4,1,False,False,False,False,False,False,104
387,1,1,23,3,23,4,1,False,False,False,False,False,False,104
388,1,1,24,4,24,4,1,False,False,False,False,False,False,104
389,1,1,25,5,25,4,1,False,False,False,False,False,False,104
390,1,1,26,6,26,4,1,False,False,False,False,False,False,104
391,1,1,27,0,27,5,1,False,False,False,False,False,False,105
392,1,1,28,1,28,5,1,False,False,False,False,False,False,105
393,1,1,29,2,29,5,1,False,False,False,False,False,False,105
394,1,1,30,3,30,5,1,False,False,False,False,False,False,105
395,1,1,31,4,31,5,1,False,True,False,False,False,False,105
396,1,2,1,5,32,5,1,True,False,False,False,False,False,105
397,1,2,2,6,33,5,1,False,False,False,False,False,False,105
398,1,2,3,0,34,6,1,False,False,False,False,False,False,106
399,1,2,4,1,35,6,1,False,False,False,False,False,False,106
400,1,2,5,2,36,6,1,False,False,False,False,False,False,106
401,1,2,6,3,37,6,1,False,False,False,False,False,False,106
402,1,2,7,4,38,6,1,False,False,False,False,False,False,106
403,1,2,8,5,39,6,1,False,False,False,False,False,False,106
404,1,2,9,6,40,6,1,False,False,False,False,False,False,106
405,1,2,10,0,41,7,1,False,False,False,False,False,False,107
406,1,2,11,1,42,7,1,False,False,False,False,False,False,107
407,1,2,12,2,43,7,1,False,False,False,False,False,False,107
408,1,2,13,3,44,7,1,False,False,False,False,False,False,107
409,1,2,14,4,45,7,1,False,False,False,False,False,False,107
410,1,2,15,5,46,7,1,False,False,False,False,False,False,107
411,1,2,16,6,47,7,1,False,False,False,False,False,False,107
412,1,2,17,0,48,8,1,False,False,False,False,False,False,108
413,1,2,18,1,49,8,1,False,False,False,False,False,False,108
414,1,2,19,2,50,8,1,False,False,False,False,False,False,108
415,1,2,20,3,51,8,1,False,False,False,False,False,False,108
416,1,2,21,4,52,8,1,False,False,False,False,False,False,108
417,1,2,22,5,53,8,1,False,False,False,False,False,False,108
418,1,2,23,6,54,8,1,False,False,False,False,False,False,108
419,1,2,24,0,55,9,1,False,False,False,False,False,False,109
420,1,2,25,1,56,9,1,False,False,False,False,False,False,109
421,1,2,26,2,57,9,1,False,False,False,False,False,False,109
422,1,2,27,3,58,9,1,False,False,False,False,False,False,109
423,1,2,28,4,59,9,1,False,True,False,False,False,False,109
424,1,3,1,5,60,9,1,True,False,False,False,False,False,109
425,1,3,2,6,61,9,1,False,False,False,False,False,False,109
426,1,3,3,0,62,10,1,False,False,False,False,False,False,110
427,1,3,4,1,63,10,1,False,False,False,False,False,False,110
428,1,3,5,2,64,10,1,False,False,False,False,False,False,110
429,1,3,6,3,65,10,1,False,False,False,False,False,False,110
430,1,3,7,4,66,10,1,False,False,False,False,False,False,110
431,1,3,8,5,67,10,1,False,False,False,False,False,False,110
432,1,3,9,6,68,10,1,False,False,False,False,False,False,110
433,1,3,10,0,69,11,1,False,False,False,False,False,False,111
434,1,3,11,1,70,11,1,False,False,False,False,False,False,111
435,1,3,12,2,71,11,1,False,False,False,False,False,False,111
436,1,3,13,3,72,11,1,False,False,False,False,False,False,111
437,1,3,14,4,73,11,1,False,False,False,False,False,False,111
438,1,3,15,5,74,11,1,False,False,False,False,False,False,111
439,1,3,16,6,75,11,1,False,False,False,False,False,False,111
440,1,3,17,0,76,12,1,False,False,False,False,False,False,112
441,1,3,18,1,77,12,1,False,False,False,False,False,False,112
442,1,3,19,2,78,12,1,False,False,False,False,False,False,112
443,1,3,20,3,79,12,1,False,False,False,False,False,False,112
444,1,3,21,4,80,12,1,False,False,False,False,False,False,112
445,1,3,22,5,81,12,1,False,False,False,False,False,False,112
446,1,3,23,6,82,12,1,False,False,False,False,False,False,112
447,1,3,24,0,83,13,1,False,False,False,False,False,False,113
448,1,3,25,1,84,13,1,False,False,False,False,False,False,113
449,1,3,26,2,85,13,1,False,False,False,False,False,False,113
450,1,3,27,3,86,13,1,False,False,False,False,False,False,113
451,1,3,28,4,87,13,1,False,False,False,False,False,False,113
452,1,3,29,5,88,13,1,False,False,False,False,False,False,113
453,1,3,30,6,89,13,1,False,False,False,False,False,False,113
454,1,3,31,0,90,14,1,False,True,False,True,False,False,114
455,1,4,1,1,91,14,2,True,False,True,False,False,False,114
456,1,4,2,2,92,14,2,False,False,False,False,False,False,114
457,1,4,3,3,93,14,2,False,False,False,False,False,False,114
458,1,4,4,4,94,14,2,False,False,False,False,False,False,114
459,1,4,5,5,95,14,2,False,False,False,False,False,False,114
460,1,4,6,6,96,14,2,False,False,False,False,False,False,114
461,1,4,7,0,97,15,2,False,False,False,False,False,False,115
462,1,4,8,1,98,15,2,False,False,False,False,False,False,115
463,1,4,9,2,99,15,2,False,False,False,False,False,False,115
464,1,4,10,3,100,15,2,False,False,False,False,False,False,115
465,1,4,11,4,101,15,2,False,False,False,False,False,False,115
466,1,4,12,5,102,15,2,False,False,False,False,False,False,115
467,1,4,13,6,103,15,2,False,False,False,False,False,False,115
468,1,4,14,0,104,16,2,False,False,False,False,False,False,116
469,1,4,15,1,105,16,2,False,False,False,False,False,False,116
470,1,4,16,2,106,16,2,False,False,False,False,False,False,116
471,1,4,17,3,107,16,2,False,False,False,False,False,False,116
472,1,4,18,4,108,16,2,False,False,False,False,False,False,116
473,1,4,19,5,109,16,2,False,False,False,False,False,False,116
474,1,4,20,6,110,16,2,False,False,False,False,False,False,116
475,1,4,21,0,111,17,2,False,False,False,False,False,False,117
476,1,4,22,1,112,17,2,False,False,False,False,False,False,117
477,1,4,23,2,113,17,2,False,False,False,False,False,False,117
478,1,4,24,3,114,17,2,False,False,False,False,False,False,117
479,1,4,25,4,115,17,2,False,False,False,False,False,False,117
480,1,4,26,5,116,17,2,False,False,False,False,False,False,117
481,1,4,27,6,117,17,2,False,False,False,False,False,False,117
